csv_note,speed_0,speed_1,speed_2,speed_3,speed_4
Logistic Regression Classic,359,122,98,49,32
XGB Classic,498,114,50,31,8
Random Forest Classic,535,110,35,19,11
LDA Classic,341,119,99,50,40
Logistic Regression TS MA,544,94,43,29,4
XGB TS MA,600,90,24,7,0
Random Forest TS MA,551,105,36,20,6
LDA TS MA,575,110,22,7,7
Logistic Regression TS Diff,656,56,6,2,3
XGB TS Diff,711,12,0,0,0
Random Forest TS Diff,689,33,1,0,0
LDA TS Diff,611,80,19,8,5
