,csv_note,Error Rate
0,Logistic Regression Classic,0.14010351966873702
1,XGB Classic,0.27815734989648033
2,Random Forest Classic,0.2730227743271222
3,LDA Classic,0.2738095238095237
4,Logistic Regression TS MA,0.16402311792796898
5,XGB TS MA,0.199850794065201
6,Random Forest TS MA,0.2788869433178638
7,LDA TS MA,0.16679814811361415
8,Logistic Regression TS Diff,0.03441186702582921
9,XGB TS Diff,0.018055399259682803
10,Random Forest TS Diff,0.1351684983828466
11,LDA TS Diff,0.14934325724600173
