csv_note,Accuracy
Logistic Regression Classic,0.9116977225672878
XGB Classic,0.9436853002070393
Random Forest Classic,0.9511180124223604
LDA Classic,0.9091304347826087
Logistic Regression TS Diff,0.9767067005594713
XGB TS Diff,0.9946994778681828
Random Forest TS Diff,0.990744765017104
LDA TS Diff,0.9645733294150404
Logistic Regression TS MA,0.9466840932099286
XGB TS MA,0.9626684924882596
Random Forest TS MA,0.954966148993301
LDA TS MA,0.9500176194570249
