csv_note,Accuracy
Logistic Regression Classic,0.859896480331263
XGB Classic,0.7218426501035197
Random Forest Classic,0.7269772256728778
LDA Classic,0.7261904761904763
Logistic Regression TS MA,0.8069341244512408
XGB TS MA,0.7480890970071143
Random Forest TS MA,0.7120854020655063
LDA TS MA,0.7725438037492576
Logistic Regression TS Diff,0.9283837256234705
XGB TS Diff,0.9572045295294169
Random Forest TS Diff,0.8431660985356345
LDA TS Diff,0.881593360508452
