csv_note,MCC
Logistic Regression Classic,0.7059601317980412
XGB Classic,0.6139439577257703
Random Forest Classic,0.7398288047592059
LDA Classic,0.5517113887487416
Logistic Regression TS MA,0.8357150989389703
XGB TS MA,0.8131723588541924
Random Forest TS MA,0.7632259128090912
LDA TS MA,0.6462113729356964
Logistic Regression TS Diff,0.8715469989601419
XGB TS Diff,0.9875787774184883
Random Forest TS Diff,0.9411405701060169
LDA TS Diff,0.7843928599186705
